City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carahue,-38.7,-73.1667,9.8,91,0,1.14,CL,2023-09-29 23:26:49
1,yellowknife,62.456,-114.3525,7.45,65,75,2.57,CA,2023-09-29 23:26:50
2,ushuaia,-54.8,-68.3,9.81,46,0,4.63,AR,2023-09-29 23:26:50
3,al qusayr,34.5091,36.5798,20.13,60,6,3.47,SY,2023-09-29 23:26:50
4,edinburgh of the seven seas,-37.0676,-12.3116,10.58,85,100,15.26,SH,2023-09-29 23:26:50
5,crane,31.3974,-102.3501,32.71,30,0,9.34,US,2023-09-29 23:26:50
6,hamilton,39.1834,-84.5333,23.46,77,0,1.54,US,2023-09-29 23:26:27
7,roxas,11.5853,122.7511,25.08,85,85,1.92,PH,2023-09-29 23:26:50
8,vilyuchinsk,52.9306,158.4028,7.15,56,100,0.56,RU,2023-09-29 23:26:51
9,cambria,35.5641,-121.0808,27.1,71,13,6.1,US,2023-09-29 23:26:51
10,aljezur,37.3191,-8.8033,22.61,52,39,1.96,PT,2023-09-29 23:26:51
11,khandyga,62.6667,135.6,0.67,50,73,1.95,RU,2023-09-29 23:26:51
12,sitka,57.0531,-135.33,12.94,62,100,2.06,US,2023-09-29 23:26:51
13,iqaluit,63.7506,-68.5145,1.85,87,100,6.17,CA,2023-09-29 23:26:51
14,dalai,45.5,124.3,11.23,81,43,3.95,CN,2023-09-29 23:26:52
15,adamstown,-25.066,-130.1015,20.63,83,23,10.3,PN,2023-09-29 23:26:52
16,balaklava,44.5,33.6,17.43,67,12,0.95,UA,2023-09-29 23:26:52
17,invercargill,-46.4,168.35,7.79,81,80,5.36,NZ,2023-09-29 23:26:52
18,saguenay,48.4168,-71.0657,14.49,89,40,1.54,CA,2023-09-29 23:26:01
19,port-aux-francais,-49.35,70.2167,1.0,71,10,18.77,TF,2023-09-29 23:26:52
20,shiqian,27.5225,108.2281,22.06,94,47,1.23,CN,2023-09-29 23:26:52
21,west island,-12.1568,96.8225,24.99,83,75,7.2,CC,2023-09-29 23:26:53
22,olonkinbyen,70.9221,-8.7187,2.44,83,100,6.62,SJ,2023-09-29 23:26:53
23,ninotsminda,41.2646,43.5916,8.13,82,87,2.14,GE,2023-09-29 23:26:53
24,san antonio de pale,-1.4014,5.6325,24.71,84,38,4.0,GQ,2023-09-29 23:26:53
25,waitangi,-43.9535,-176.5597,12.12,78,100,4.02,NZ,2023-09-29 23:26:53
26,fort st. john,56.2499,-120.8529,8.94,81,100,2.57,CA,2023-09-29 23:26:53
27,punta arenas,-53.15,-70.9167,8.06,57,0,2.57,CL,2023-09-29 23:22:09
28,mount pearl,47.5166,-52.7813,10.25,85,75,1.03,CA,2023-09-29 23:26:54
29,puerto natales,-51.7236,-72.4875,5.76,82,100,1.37,CL,2023-09-29 23:25:34
30,sisimiut,66.9395,-53.6735,1.94,86,75,2.43,GL,2023-09-29 23:26:54
31,margaret river,-33.95,115.0667,14.27,78,59,7.74,AU,2023-09-29 23:26:54
32,la'ie,21.6477,-157.9253,31.98,73,99,4.02,US,2023-09-29 23:26:54
33,whitehorse,60.7161,-135.0538,9.5,80,100,0.45,CA,2023-09-29 23:26:40
34,tamasi,46.6333,18.2833,17.03,47,0,1.15,HU,2023-09-29 23:26:55
35,namibe,-15.1961,12.1522,18.13,86,71,4.6,AO,2023-09-29 23:26:55
36,newman,37.3138,-121.0208,29.19,34,8,5.57,US,2023-09-29 23:26:55
37,tura,25.5198,90.2201,23.73,95,98,1.9,IN,2023-09-29 23:26:55
38,palembang,-2.9167,104.7458,23.05,94,20,0.0,ID,2023-09-29 23:26:55
39,tiksi,71.6872,128.8694,-1.6,84,100,6.5,RU,2023-09-29 23:26:56
40,grytviken,-54.2811,-36.5092,-1.15,88,18,3.86,GS,2023-09-29 23:26:56
41,bikenibeu village,1.3673,173.1241,30.98,74,40,2.57,KI,2023-09-29 23:26:56
42,udachny,66.4167,112.4,1.92,93,100,3.87,RU,2023-09-29 23:26:56
43,longyearbyen,78.2186,15.6401,-0.09,69,75,3.09,SJ,2023-09-29 23:26:56
44,suntar,62.1444,117.6319,5.98,83,93,2.31,RU,2023-09-29 23:26:56
45,tual,-5.6667,132.75,25.96,84,100,6.29,ID,2023-09-29 23:26:57
46,bilibino,68.0546,166.4372,-4.71,90,99,2.38,RU,2023-09-29 23:26:57
47,constantia,44.1833,28.65,18.38,67,12,7.48,RO,2023-09-29 23:26:57
48,lazaro cardenas,17.9583,-102.2,30.58,74,31,4.96,MX,2023-09-29 23:26:57
49,lorengau,-2.0226,147.2712,28.07,80,38,3.29,PG,2023-09-29 23:26:57
50,lishui,28.4604,119.9103,24.48,92,4,0.21,CN,2023-09-29 23:26:57
51,hafnarfjordur,64.0671,-21.9377,6.21,75,0,3.09,IS,2023-09-29 23:26:57
52,kingston,17.997,-76.7936,29.53,95,20,4.63,JM,2023-09-29 23:22:44
53,vrangel',42.7297,133.0839,16.82,73,58,3.08,RU,2023-09-29 23:26:58
54,camana,-16.6228,-72.7111,18.04,85,63,2.97,PE,2023-09-29 23:26:58
55,port lincoln,-34.7333,135.8667,22.54,29,10,8.07,AU,2023-09-29 23:26:58
56,sambava,-14.2667,50.1667,21.62,87,51,3.81,MG,2023-09-29 23:26:58
57,mili,6.0815,171.735,27.54,80,100,8.6,MH,2023-09-29 23:26:58
58,cabo san lucas,22.8909,-109.9124,35.34,49,20,3.6,MX,2023-09-29 23:30:00
